"comp","SampleSizes","summary","p.value","panel","weeks","fdr"
"eOD vs. core","17 vs. 7","0.0234 [0.0051, 0.1010] vs. 0.0629 [0.0390, 0.1226]",0.00189538404641379,"A","8",0.00852922820886208
"eOD->eOD vs. eOD->core","28 vs. 16","0.0628 [0.0094, 0.3381] vs. 0.1294 [0.0218, 0.4551]",0.0650498796858067,"A","16",0.117089783434452
"eOD->eOD vs. eOD->core","13 vs. 17","0.1338 [0.0080, 0.3537] vs. 0.1637 [0.0238, 0.5777]",0.362669592522035,"A","24",0.544004388783052
"eOD->eOD vs. eOD->eOD->core","13 vs. 13","0.1338 [0.0080, 0.3537] vs. 0.1575 [0.0164, 0.4104]",0.613869776743649,"A","24",0.690603498836606
"eOD->core vs. eOD->eOD->core","17 vs. 13","0.1637 [0.0238, 0.5777] vs. 0.1575 [0.0164, 0.4104]",0.563403411076417,"A","24",0.690603498836606
"eOD->eOD","11","0.1102 [0.0145, 0.2270] vs. 0.1338 [0.0080, 0.3537]",0.0244140625,"A","16 vs. 24",0.054931640625
"eOD->core","16","0.1294 [0.0218, 0.4551] vs. 0.1631 [0.0238, 0.5777]",0.000579833984375,"A","16 vs. 24",0.005218505859375
"eOD->eOD vs. eOD->eOD->core","12","0.0678 [0.0094, 0.3381] vs. 0.1613 [0.0164, 0.4104]",0.0068359375,"A","16 vs. 24",0.0205078125
"eOD->core vs. eOD->eOD->core","16 vs. 13","0.1294 [0.0218, 0.4551] vs. 0.1575 [0.0164, 0.4104]",0.812337602391492,"A","16 vs. 24",0.812337602391492
"eOD vs. core","17 vs. 7","0.0196 [0.0034, 0.0703] vs. 0.0536 [0.0266, 0.0843]",0.00851767098906687,"B","8",0.0383295194508009
"eOD->eOD vs. eOD->core","28 vs. 16","0.0569 [0.0035, 0.3330] vs. 0.0918 [0.0143, 0.3789]",0.220590229076168,"B","16",0.397062412337102
"eOD->eOD vs. eOD->core","13 vs. 17","0.1235 [0.0078, 0.3507] vs. 0.1460 [0.0151, 0.5102]",0.563403411076417,"B","24",0.724375814241107
"eOD->eOD vs. eOD->eOD->core","13 vs. 13","0.1235 [0.0078, 0.3507] vs. 0.1184 [0.0100, 0.3645]",0.840250947060747,"B","24",0.845997493660659
"eOD->core vs. eOD->eOD->core","17 vs. 13","0.1460 [0.0151, 0.5102] vs. 0.1184 [0.0100, 0.3645]",0.535769241527941,"B","24",0.724375814241107
"eOD->eOD","11","0.1025 [0.0137, 0.2232] vs. 0.1235 [0.0078, 0.3507]",0.0244140625,"B","16 vs. 24",0.054931640625
"eOD->core","16","0.0918 [0.0143, 0.3789] vs. 0.1423 [0.0151, 0.5102]",9.1552734375e-05,"B","16 vs. 24",0.000823974609375
"eOD->eOD vs. eOD->eOD->core","12","0.0575 [0.0035, 0.3330] vs. 0.1213 [0.0100, 0.3645]",0.02099609375,"B","16 vs. 24",0.054931640625
"eOD->core vs. eOD->eOD->core","16 vs. 13","0.0918 [0.0143, 0.3789] vs. 0.1184 [0.0100, 0.3645]",0.845997493660659,"B","16 vs. 24",0.845997493660659
"eOD vs. core","16 vs. 7","27.0000 [1.0000, 165.0000] vs. 1.0000 [0.0000, 3.0000]",0.000383427762617425,"C","8",0.00345084986355682
"eOD->eOD vs. eOD->core","26 vs. 16","70.0000 [0.0000, 582.0000] vs. 80.5000 [4.0000, 467.0000]",0.792902313190909,"C","16",0.792902313190909
"eOD->eOD vs. eOD->core","13 vs. 17","139.0000 [0.0000, 832.0000] vs. 243.0000 [3.0000, 899.0000]",0.408285381118964,"C","24",0.62511139388289
"eOD->eOD vs. eOD->eOD->core","13 vs. 13","139.0000 [0.0000, 832.0000] vs. 195.0000 [0.0000, 623.0000]",0.5110801299925,"C","24",0.657103024276072
"eOD->core vs. eOD->eOD->core","17 vs. 13","243.0000 [3.0000, 899.0000] vs. 195.0000 [0.0000, 623.0000]",0.718231218559475,"C","24",0.792902313190909
"eOD->eOD","10","65.0000 [0.0000, 582.0000] vs. 148.0000 [0.0000, 832.0000]",0.07421875,"C","16 vs. 24",0.1669921875
"eOD->core","16","80.5000 [4.0000, 467.0000] vs. 234.5000 [3.0000, 899.0000]",0.02496337890625,"C","16 vs. 24",0.112335205078125
"eOD->eOD vs. eOD->eOD->core","11","105.0000 [0.0000, 361.0000] vs. 207.0000 [0.0000, 623.0000]",0.046875,"C","16 vs. 24",0.140625
"eOD->core vs. eOD->eOD->core","16 vs. 13","80.5000 [4.0000, 467.0000] vs. 195.0000 [0.0000, 623.0000]",0.41674092925526,"C","16 vs. 24",0.62511139388289
"eOD vs. core","16 vs. 7","0.0176 [0.0018, 0.0624] vs. 0.0001 [0.0000, 0.0012]",8.1580375024984e-06,"D","8",7.34223375224856e-05
"eOD->eOD vs. eOD->core","26 vs. 16","0.0472 [0.0000, 0.1953] vs. 0.0427 [0.0102, 0.3424]",0.476633009156666,"D","16",0.756818489251615
"eOD->eOD vs. eOD->core","13 vs. 17","0.0899 [0.0000, 0.3354] vs. 0.1256 [0.0109, 0.4564]",0.86908300235847,"D","24",0.86908300235847
"eOD->eOD vs. eOD->eOD->core","13 vs. 13","0.0899 [0.0000, 0.3354] vs. 0.0992 [0.0000, 0.3203]",0.649566371170894,"D","24",0.756818489251615
